venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
WHITE EAGLE HALL,White Eagle Hall,"JERSEY CITY, NJ",USA,800,800,False,excel_pink_cell
XFINITY MOBILE ARENA,XFINITY MOBILE ARENA,"PHILADELPHIA, PA",USA,21000,21000,False,excel_pink_cell
YOYOGI NATIONAL STADIUM 1ST GYMNASIUM,Yoyogi National Stadium 1st Gymnasium,TOKYO,JAPAN,13291,13291,False,excel_pink_cell
ZENITH,Zenith,MUNICH,GERMANY,6804,6804,False,excel_pink_cell
ZEPP DIVERCITY,Zepp DiverCity,TOKYO,JAPAN,2473,2473,False,excel_pink_cell
ZEPP FUKUOKA,Zepp Fukuoka,FUKUOKA,JAPAN,2001,2001,False,excel_pink_cell
ZEPP KUALA LUMPUR,Zepp Kuala Lumpur,KUALA LUMPUR,MALAYSIA,2414,2414,False,excel_pink_cell
ZEPP NEW TAIPEI,Zepp New Taipei,TAIPEI,TAIWAN,2245,2245,False,excel_pink_cell
ZEPP OSAKA BAYSIDE,Zepp Osaka Bayside,OSAKA,JAPAN,2801,2801,False,excel_pink_cell
ZIGGO DOME,Ziggo Dome,AMSTERDAM,NETHERLANDS,17000,17000,False,excel_pink_cell
